시장명,시장유형,시장개설주기,취급품목,지역,상호명,업종대분류,업종중분류,업종소분류,도로명주소,거리(m),상가업소번호,경도,위도
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,보스트로,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 중앙로 53,86.4,MA010120220807915142,127.733474758739,34.740396978192
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,본때,소매,섬유·의복·신발 소매,신발 소매업,전라남도 여수시 중앙로 43,0.0,MA010120220804960853,127.732559229325,34.7405917814862
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,본죽&비빔밥CAFE순천,음식,한식,백반/한정식,전라남도 순천시 중앙로 73,142.3,MA010120220810569518,127.483624490263,34.9522653136522
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,봉강,음식,한식,백반/한정식,전라남도 여수시 여객선터미널길 7,122.1,MA010120220807913952,127.732320384656,34.7395115425965
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,봉쌤헤어,수리·개인,이용·미용,미용실,전라남도 여수시 진남상가길 33-11,134.1,MA010120220807927163,127.733734025097,34.7413148402839
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,봉정식당,음식,한식,백반/한정식,전라남도 여수시 교동남1길 6-9,112.9,MA010120220807906259,127.73299855262,34.73964267247
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,부림소주코너,음식,주점,요리 주점,전라남도 여수시 여객선터미널길 2,76.7,MA010120220809671007,127.732128137439,34.739999452273
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,뷰티악세사리,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 순천시 별미길 17,98.0,MA010120220807839529,127.485298402869,34.9539352027753
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,블랙앤귀옥,소매,섬유·의복·신발 소매,액세서리/잡화 소매업,전라남도 순천시 시민로 43,127.2,MA010120220812756553,127.485931513132,34.9536171889125
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,블루진,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 중앙로 51,80.1,MA010120220807907660,127.733409403754,34.7404153996794
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,블리스블리'S,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 순천시 황금1길 8,83.0,MA010120220810553830,127.484970022069,34.953945528133
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,비겐의료기,소매,의약·화장품 소매,의료기기 소매업,전라남도 순천시 중앙로 80,79.2,MA010120220807848322,127.484141358225,34.9526598615589
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,비너스,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 진남상가길 43,59.7,MA0101202307A0104041,127.732191877264,34.7410356744889
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,비너스와코루,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 순천시 황금2길 1,105.2,MA0101202502A0092055,127.484226790985,34.9541558105542
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,비비큐여수충무점,음식,기타 간이,치킨,전라남도 여수시 충무로 53,141.6,MA0106202509A0716215,127.731177509282,34.7411679638829
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,비우당,음식,서양식,경양식,전라남도 순천시 별미길 20,99.1,MA0106202512A0891101,127.485472770411,34.9537992991156
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,빈폴 순천점,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 순천시 황금2길 4-1,79.1,MA0106202602A2117382,127.484477477215,34.9539655212961
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,빵,음식,기타 간이,빵/도넛,전라남도 순천시 저전1길 6-44,101.2,MA0101202210A0023594,127.483509042192,34.9531130698762
